question_ID,worker_ID,answer
0,11,Al Pacino
0,21,Al Pacino
0,8,Al Pacino
0,16,Al Pacino
0,20,Al Pacino
1,16,Chuck Norris
1,13,Alan Rickman
1,20,Balthazar Getty
1,21,Alan Rickman
1,8,Alan Rickman
1,0,Tom Green
2,16,Jessica Alba
2,8,Jessica Alba
2,21,Jessica Alba
2,20,Jessica Alba
2,12,Jessica Alba
2,18,Jessica Alba
3,20,Nicolas Cage
3,8,Michael McDonald
3,13,Nicolas Cage
4,20,Robbie Amell
4,8,Alan Cumming
4,21,Alan Cumming
4,12,Alan Cumming
4,17,Robbie Amell
5,16,Gwen Stefani
5,12,Gwen Stefani
5,21,Gwen Stefani
5,20,Gwen Stefani
6,16,Jason Biggs
6,8,Jason Biggs
6,14,Jason Biggs
6,20,Adam Sandler
7,21,Sandra Bullock
7,14,Sandra Bullock
7,20,Sandra Bullock
7,11,Sandra Bullock
7,16,Sandra Bullock
8,15,Tim Allen
8,8,Tim Allen
8,13,Chuck Norris
8,14,Tim Allen
9,13,Javier Bardem
9,20,Robert Downey Jr
9,8,Javier Bardem
9,21,Javier Bardem
9,15,Javier Bardem
10,20,Ginnifer Goodwin
10,21,Jennifer Morrison
10,12,Katie Holmes
10,13,Kirsten Dunst
10,7,Jennifer Morrison
11,11,Liv Taler
11,16,Krysten Ritter
11,13,Anne Hathaway
11,12,Anne Hathaway
12,21,Bob Saget
12,8,Bob Saget
12,12,Bob Saget
12,15,Bob Saget
12,14,Bob Saget
13,8,Isla Fisher
13,12,Isla Fisher
13,15,Isla Fisher
13,14,Isla Fisher
13,7,Isla Fisher
14,8,Kenny G
14,19,Kenny G
14,5,Henry Cavill
15,11,Kofi Anan
15,3,Nelson Mandela
15,20,Morgan Freeman
15,15,Kofi Anan
15,8,Kofi Anan
16,8,Alan Cumming
16,12,Alan Cumming
16,9,Alan Cumming
17,20,Sofia Vergara's
17,16,Zoë Saldana
17,21,Thandie Newton
17,15,Thandie Newton
18,13,Brad Pitt
18,21,Robert Redford
18,8,Robert Redford
18,20,Brad Pitt
18,16,Robert Redford
19,3,Kim Kardashian
19,12,Kim Kardashian
19,20,Kim Kardashian
19,19,Nicole Scherzinger
19,4,Nicole Scherzinger
19,6,Nicole Scherzinger
20,20,Kirstie Alley
20,21,Lauren Conrad
20,12,Carmen Electra
21,15,Hugh Jackman
21,14,Hugh Jackman
21,20,Patrick Dempsey
21,11,Hugh Jackman
22,16,Richard Lewis
22,20,Bob Odenkirk
22,15,Richard Lewis
22,14,Richard Lewis
22,21,Richard Lewis
22,19,Richard Lewis
23,13,Keira Knightley
23,8,Keira Knightley
23,20,Daisy Ridley
23,16,Keira Knightley
24,10,Al Pacino
24,19,David Naughton
24,5,Al Pacino
24,7,David Naughton
24,0,Paul McCartney
25,19,Tom Green
25,17,Tom Green
25,7,Tom Green
25,18,Tom Green
26,4,Arielle Kebbel
26,7,Arielle Kebbel
26,17,Jessica Alba
26,5,Alicia Keys
27,19,Nicolas Cage
27,6,Nicolas Cage
27,7,Nicolas Cage
27,17,Nicolas Cage
27,2,Nicolas Cage
28,19,Paul Reubens
28,6,Paul Reubens
28,5,Alan Cumming
28,0,Paul Reubens
